# Constructed from biom file
OTU ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25
5e7a913f2b93857a5b78f920fc0b410c	0	0	0	0	1343	2	2118	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	2	0	0
7e50fa6a2eb30a9c32d11e0f705c1168	3	0	0	244	6	41	19	30	2	0	0	0	0	0	0	20	6011	43	1980	23	1912	18	1895	4807	1953
ce5cbb36c95675bc3e5e3db656e690de	0	0	0	0	0	0	0	0	568	0	99	0	0	0	0	593	393	159	0	338	1419	896	237	1276	145
235207ef10a1d87191a2d4fc936eeb8b	0	9	0	942	0	601	0	313	0	0	0	0	0	0	0	1153	926	2080	387	1447	349	948	793	633	1469
951f7129b373ec68644d23dced809802	566	0	805	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
f8db24b0a31c719b50ee7e6395609811	0	0	0	8	0	3	0	5	0	0	0	6	0	0	0	2002	40	2437	0	1737	0	2036	0	418	0
df94b84aa3885cff24a652eb7c8270e1	0	0	0	0	1072	0	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acf273a966bdf8bcc704244daa802da1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	39	6	2	20	0	6	8	321	11
e5f3c4dabcbf5e3b6bdb92ccdb2d7988	0	880	0	1108	0	1314	0	545	0	0	0	0	0	0	0	387	2166	438	1912	363	1266	245	0	1282	0
5b15e178ac943e18d27d0e6fcda122e9	0	0	0	0	130	0	168	0	0	0	0	0	0	0	2	341	10	796	0	320	0	558	277	0	457
19438f61745c1b0655a91b8426f30450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
8931d91507d0e87aeb0fbbaf8ec6a303	0	142	0	1063	0	399	0	203	0	0	0	0	0	0	0	137	685	302	321	236	265	168	412	335	835
16b6c2bb47df6acab507e54570f2a0bd	0	772	0	1073	0	1349	0	556	0	0	0	0	0	0	0	357	2046	479	1918	330	1191	240	0	1226	0
7fe73ad4ce8af778418ac3c57da4818c	0	0	0	0	0	0	0	0	16	0	0	0	16268	0	0	0	0	0	0	0	0	0	0	0	0
2d209e241db7aad8709c57ab1adab34c	15	21	36	21	87	0	107	186	0	0	0	0	0	0	353	33	0	13	660	18	28	23	34	180	9
67d237ea2b3252975fe1ddf266394df2	225	142	296	1052	0	466	0	221	0	0	0	0	0	6	0	179	848	259	347	212	263	197	465	324	815
72c2cc2339e108fbcca6688b0f2100c8	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	883	0	1451	0	895	0	943	0	447	0
217b6356127a789f0f477f6b12a18487	848	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
d7f015f5d645d21bed41f4663029f14c	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
45a2ed4db1ac63527d02a8d119ec6dba	0	0	19	18	379	8	711	251	0	0	13	0	0	21	704	19	73	0	503	0	253	55	29	239	0
85c701c06cdd1dc6da90a548e29dbf85	0	0	0	0	203	0	1304	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
045b35fb35c52685c79c8951166d5cd8	0	0	0	0	0	0	0	0	4	0	3	0	0	0	5	77	5	136	0	117	0	64	172	4	557
fb8a97c9bff69baac5efd84ff2cf6b5e	826	0	684	0	392	0	1301	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
e916d63ab73cf8a4c0e16b30a70c617d	0	129	0	848	0	376	0	187	0	0	0	0	0	0	0	173	617	247	274	248	234	181	371	325	655
2f11a68672c48c3ee378270841490ccb	1489	0	1438	0	349	0	646	0	0	0	0	0	5	0	0	0	18	0	0	0	0	0	0	0	6
ec0676fe67f46ff8a3c086d50fe7b265	0	6	0	554	108	217	287	195	0	0	0	0	0	0	1218	571	1316	876	414	612	572	624	347	1514	832
f5989dbb5a22d0b87db9e02944c3ecac	343	0	587	0	473	0	651	0	0	0	2	0	0	0	36	1185	0	585	0	407	0	2110	778	15	1264
085fda1e1c2d51a06c6902a9a6159e16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1149	340	829	150	1046	171	486	566	1836	1996
8c42a2a79b2260f53eac79d113606edf	0	230	0	255	0	124	0	21	0	1197	0	1962	0	0	2626	0	417	0	251	0	99	0	203	587	593
d1fc831ed6471f4bdc918ee617fe5095	21	0	39	3	187	0	206	0	0	0	0	0	0	0	1462	764	35	115	32	53	304	28	0	85	0
58ce425c133b78dbad47ebba677d03d3	0	0	0	0	1276	0	519	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
f22c0cb7b3688cd4d83dab06a156d71a	49	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	8	0	16	4	248	3
e70620a5d44d8218d6b02b10e74f447c	0	9	0	234	54	163	79	37	0	313	0	39	0	0	2336	1364	565	1726	164	1241	112	1184	0	285	0
b4f57360e91a8a965b435daf95d665de	0	0	0	0	17	6	18	0	2093	4	2178	0	3716	3548	0	0	3	2	0	0	4	0	0	0	2
c6c6381aa7304c5676c3b26a8492b4d2	0	0	0	45	0	24	0	12	0	0	0	0	0	0	0	715	182	1193	77	753	70	519	575	109	1028
7649736b5b365f0e568e0dfe57538460	268	0	277	0	2434	0	2546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3385bcd31b53cedfc23c6e2efacb7d81	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
6880249913d19ed04c957b8f7c80f7b6	0	0	0	0	0	0	134	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0f06b9948d9ba84c9d716f4a1c5235a	0	0	0	330	63	118	55	12	0	473	0	558	0	0	462	0	320	0	146	0	125	0	96	246	170
c653ef147bfba85993b2d38b38587111	0	0	0	0	147	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a4f94ff4d4be51c400d1d5d07415966d	89	0	83	0	1450	0	1983	0	0	0	0	0	0	0	0	2868	0	15	0	160	0	762	766	1461	298
ac182e3a10743bb9206252d1ed597286	24	0	175	69	57	15	92	136	40	0	36	0	522	39	596	271	227	162	573	27	213	214	131	80	0
c0358b3b61df13bf5e67818d419876db	260	0	173	0	146	0	221	0	2862	0	3055	0	1894	1899	3	0	0	0	0	0	0	0	0	0	0
ed35090967254bec408f8a5aefe7f485	0	11	0	383	40	85	69	13	0	470	0	565	0	0	476	0	310	0	128	0	148	0	87	243	183
f48d9453602712ed1f2f2841f010d5e4	15	0	46	14	0	0	0	256	0	0	0	0	0	0	0	808	145	3	71	152	750	706	199	500	122
